"","ratingPoint","ratingtext"
"1","7","조 마치... 동생 베스를 그리워하며 다시 글을 적는 영화."
"2","9","원작은 못봐서 모르지만 재밌습니다!추천!"
"3","8","재밌더라구요 추천해요"
"4","10","진심으로 마음이 따뜻해지는 소녀들의 이야기라고 생각합니다. 정말로 봐야하는 영화입니다!!"
"5","6","과거와 현재를 오락가락 정신없네요 1994년작품보다 못하네요"
"6","7","여성감독다운 섬세함은 94년 만들었던 영화만큼 좋았는데. 로리역의 어색한 연기와 원작에 더 충실한 전작에 비해 감동의 깊이는 좀 떨어진다.그럼에도 따뜻한 영상미와 그레타 거윅과 시얼샤 로넌의 빛나는 조화는 기대를 저버리지 않는다."
"7","3","연출이.. 원작 못따라가네.."
"8","8","따스하고 재밌었어요"
"9","9","Big Women"
"10","6","전작의 위노나 라이더나 크리스찬 베일의 깊은 연기를 못 따라 가네요.특히 티모시.. 연기."
"11","7","..."
"12","2","인물들의 과거와 현재모습이 동일할거면 편집을 똑바로하던가 적어도 막내는 소녀에서 여인이 되어야지.이것때문에 의상에만 정성들인 영화로 전락해버림"
"13","10","가장개인적인 것이 가장 창의 적이다!!!*^^*따듯한영화"
"14","3","과거와 현재를 왔다갔다하니 너무 산만. 엠마왓슨은 메그 역에 안어울리고 로리도 너무 앳된배우 여서 조랑도 뭔가 안어울림. 뱌우들을 보나 자연스러운 흐름전개를 보나 95년작이 더 나았음."
"15","10","이런 영화 많이 만들어주세요"
"16","7","조 하고  에이미 둘이  주인공인듯.  뛰어다니는  캐릭터 명랑한 말괄량이 조, 화려한 외모의 에이미가  주인공 인듯.  로리는  외모도 빈약하고  존재감이  약함.  로리가 더  잘생겼으면  하는 개인적인  바램."
"17","5","현대적 의미와 맞닿아 있다는 것에 의의"
"18","10","꿀잼"
"19","10","원작을 읽고싶게 만드는 드문 헐리우드 명작!"
"20","9","흠잡을 데가 없는 좋은 영화."
"21","5","49년 95년 20년  배우와 작중 캐릭터 ,원작을 최대한 살릴 영화는 20년뒤에 한번 더 제작할려나?"
"22","8","이 영화보고 배우 얼평하는 사람들 넘 웃기네"
"23","9","재미있게 집중해서 봤음"
"24","8","플롯이란 무기를 지닌 영화의 강점"
"25","10","인물의 서사가 살아있는 최고의 작품"
"26","9","에이미 캐릭터의 완벽한 재해석. 원작 소설에서 빈 공간이 많았던 캐릭터였는데 이렇게 훌륭하게 채울 수 있다니 흥미로웠음. 모든 배우들의 훌륭한 연기도 말할 나위 없음."
"27","3","캐스팅 미스네요. 작은 아씨들 역의 배우들은 94년작이 훨씬 조화롭고 보기가 좋습니다.특히 에이미는 어린 시절과 성인 역할 배우를 따로 갔어야죠. 그래야 조 바라기였던 로리가 성인이 되어 다시 만난 에이미를 보고 사랑에 빠지는게 공감이 되죠.어릴때나 커서나 우악스럽고 덩치가 커보이기만 한 에이미는 전혀 사랑스럽지가 않네요.시얼샤 로넌도 위노라 라이더에 비해 뭔가 사랑스러움이 많이 부족한 느낌이 들구요.(그렇다고 당차 보이지도 않는다는게 함정)전반적으로 작은 아씨들 역할 배우들이 많이 아쉬운 영화입니다."
"28","2","원작의 재미와 감동을 다 담아내지 못 한 것 같네요. 편집이며 구성이며 너무 산만합니다. 무엇보다 조 역할의 배우가 너무 노안이라 장녀인 메그와의 케미도 살지 않을 뿐만 아니라 중요인물인 로리와 함께 있을 때는 꼭 이모처럼 보여요. 이 배우가 연기 잘하는 훌륭한 배우일지는 몰라도, 작은 아씨들 조의 역할에 딱 맞는 배우는 아니란 생각이 들어요. 전혀 매력점을 찾질 못 하겠네요. 이 영화 자체에서도 조라는 인물이 별로 매력적이지 않게 그려진 까닭도 있겠지만요. 워낙 좋아하는 작품이어서 영화 보고 실망만 느끼게 되네요."
"29","5","보다가 말았어요. 너무 산만하고 감동도 없고. 시얼사 로넌만 보이는 영화.. 베스, 에이미는 아주머니처럼 생겨서 몰입이 안되는.. 역시 원작 소설이 최고"
"30","8","잔잔하게 밀려오는 감동. 그레타 거윅의 작품은 처음 보지만 기대했던 대로 좋았다. 네 자매가 성장하면서 자신의 의지와 꿈을 따르는 모습을 한편의 동화처럼 잘 풀어냈다. 우리들의 유년기는 끝났지만 그 때 심은 씨앗은 계속 커간다. 주제의식, 연출, 연기 모두 좋았다."
"31","8","명불허전"
"32","8","점점 좋은 감독이 되가는 그레타 거윅, 점점 좋은 배우가 되가는 시얼샤 로넌과 티모시 샬라메, 역할에는 안맞지만 개성있는 목소리의 플로렌스 퓨,다소 안타까운 엠마 왓슨과 로라 던,여전히 혼자 '연기'하고 있는 메릴 스트립혼란스런 각본(사라 폴리)만 아니었더라면 더 감상하기 좋았을텐데.."
"33","8","시얼샤 로넌 밖에 안 보인다.시대극에 최상인 이미지로 귀티가 철철 흐른다에이미랑 베스는 최악이다.가장 어리고 귀여워야할 에이미.베스에 아줌마들을 뽑다니  감독 시력이 정상이 아닌거같다감독과 아는 사람 뽑은거같다동양인과 서양인이 외모를 보는 기준이 다른가?왜 요즘 영화는 이따위일까?80년대 90년대 영화가 진짜 영화다요즘 영화는 돈으로 쳐바르기만 했지 남는게 없다시얼샤 존재하나만으로 8점이다"
"34","10","너무 감동적이고 아름다웠던 영화.  이미 원작의 내용을 알고있었고 예고편을 보며 쌓인 높은 기대에 그 이상으로 더욱 훌륭했던 작품. 원작의 독착성을 유지하면서도 지금 21세기 감성을 살려낸 신의 한수. 시네마토그래피와 의상마저 너무 완벽해서 눈마저 즐거웠던영화. 영어원작 대사를 들어보면 하나하나 마음에 꽂히는 표현들. 꼭 기회되면 영화관에 가서 봤으면 합니다."
"35","6","너무 현재 과거가 왔다갔다한다"
"36","7","에이미 나쁜* 얄미움덩치가 너무 커 ㅎㅎㅎ"
"37","1","훌륭한 원작을 이렇게 망쳐놓다니배우 캐스팅 연기 다 실망스럽고정신사나운 스토리 전개는 덤"
"38","4","네자매들 전작들보다 인물이 너무 없네요"
"39","10","처음엔 화면 전환이 난잡하게 느껴졌는데, 점차 스토리가 진행되면서 괜찮아졌고, 스토리는 동명의 옛날 영화보다 훨씬 더 깊고, 전의 영화는 너무 조와 로리의 감정과 스토리에만 집중했는데, 2020버전은 조와 로리 뿐 아니라 다른 인물들의 스토리도 비중있게 다루어서 너무 좋았습니다. 능력있는 여성이 당시 억압받는 사회 분위기에서 느끼는 감정도 잘 다루어서 좋았고, 그것을 똑바로 인지하고 있는 것도 좋았고, 그럼에도 나아가는 것도 좋았습니다. 세 번 더 볼 거에요."
"40","1","내가 알고있던 작은아씨들이 맞나 의심하며 봤어요..캐스팅 완전 이상함..사랑스럽고 러블리하지않고  완전  정신사나움..."
"41","7","편집의 묘미는 있으나, 고전의 감동은 1994년"
"42","10","진짜 꿀잼"
"43","7","과도한 각색이  흠...헤르미온느   이제는  뭔가가   빠져나가버린듯 해서  조금  안타까웠다대신  시얼사  로넌이라는  아주  매력적인  배우를  알게 되어서  좋았다"
"44","6","책과 영화, 만화 등등. 좋아했던 작품이기에 더욱  아쉽게 느껴짐. 전개와 결말이 이해되지 않음. 소설의 행복한 크리스마스 분위기와 따뜻한 가족의 분위기을 느끼지 못해서 아쉬움이 많은 영화"
"45","2","로리.죠.메그 빼고는 캐스팅이 너무나 불만족.사실 매그랑 죠도 바뀌면 더 나을듯함.특히 에이미 목짧고..기타 등등 외모에 상킁함이없고 억처스럽기만해서. 극에 몰입이 전혀...안됨.엄마역도 조금만 인상 바꾸면 사납고 표독해보이는 인상이라 애써 인자함을 쥐어짠 울상 느낌...아무튼. 고전물이 더 마음에 듬.기대했는데 아쉬움이 큼..."
"46","0","쏘니픽처스(왜놈픽처스)"
"47","9","연기, 음향, 미술,  구성까지 최고두번 봤는데 두번째 보니 더 재밌었음흠이라면 유년시절 모습을 대역 없이 재연해서 약간의 혼란(?)이 있을 수는 있지만(13살의 에이미를 하기에는 23살의 플로렌스 퓨는....)몇번이나 봤던 책을 다시 봐야겠다는 생각도 하게 됨"
"48","2","지루하고  재미없음 오만과편견이 오버랩되지만 그렇다고 오만과편견 만큼의 영상미도 없음. 재밌다는 분들은 정민 개취인듯 패미충이거나"
"49","0","배급사 ""소니픽처스""가 니들이 낸 돈의 50프로를 가져간다! 그 돈이 결국 니들의 목을 조여올 것! 왜 일본에선 ""혐오스러운 한국인"" 시위를 내비두고 있을까? 그 돈이 ""독도는 일본땅""이라는 광고에도 쓰일 것! ㅉㅉ"
"50","9","보세요  재미있어요"
"51","8","막내가 제일 안어울림"
"52","10","후반으로 갈수록 몰입하게 되었네요서로가 사랑한다는 것에 대한 진실을 찾아가고원고를 방안 가득히 펼처놓고 작품에  몰두하는 모습도 인상적이었고 베스트셀러가 되기 의한 작품의 요소들도생각해보는 시간이었어요."
"53","8","큰 기대 없었는데 잘 봤습니다!!"
"54","6","책을 읽었을 때의 감성을 기대했다면 후퇴하자."
"55","8","개인적으로는 94년작이 더 나은듯.."
"56","2","음. 글쎄."
"57","8","잘봤습니다. 전편작도 좋고 이번작도 좋네요"
"58","9","94년작도 볼만하다. 어여 인터넷에 ............"
"59","10","어린시적 추억을 불러일으키는 너무 행복하게 만들어주는 사랑스러운 영화 이제까지 영화화 된 작은 아씨들중 최고였고, 에이미의 캐릭터를 정말 살아있게 만들어준 영화였다. 너무 사랑스러운 영화. ㄱ리고 조가 결혼했을까? 아님 안했늘까 하는 결말도 너무 좋았다"
"60","9","졸라라라라랄라 잼"
"61","9","요즘 시대에 그런 가족애는 드물겠지.현실을 참 솔직하게 그려놓은 영화."
"62","0","배급사 ""소니픽처스""가 수익의 50프로를 가져간다! 그 돈의 일부는 일본의 ""혐오스러운 한국인"" 시위로 흘러들어가겠지! 니들 때문에 차별 받고 사는 재일 교포들이 불쌍할 뿐이다! 일본 불매는 무슨 뜻인줄은 아니? 왜 시작했을까? ㅉㅉ"
"63","7","기대만큼은 못한 정도.마님은 잘 보는데 나는 중간 중간 지루했다."
"64","10","코로나만 아니면 세번도 보고싶다!"
"65","8","누구에게나 있는 인생이야기...그이상 그이하도 아님"
"66","10","스토리와 대사들이 좋았고 배우들의 연기들도 훌륭했다"
"67","7","우리들의 살아가는 인생은 한편의 영화다."
"68","10","너무 잼있고 감동도 있었어요~다시보고싶네요"
"69","6","작은 아씨들은 그동안 영화만도 예닐곱 번 정도 만들었다고 하지 않아? 연극 TV 드라마 뮤지컬 등등 다 합치면 셀 수도 없겠지......그저 또 영화화돤 작품일 뿐."
"70","8","작은아씨들과 오만과편견을  좋아하는 사람에게는 추천"
"71","10","짅자좋았음"
"72","7","거대한 서사가 없어도 복잡한 복선이 없어도 감동적이고 재미있을 수 있다. 결론은 그래도 대중의 입맛에 맞게 !!!"
"73","8","보는내내 좋은시간이었어요. 추천합니다."
"74","5","전반부 몰입도 떨어지는 편집 구성과 연기자들의 부자연스럽고 억지스러운 연기가 눈에 두드러져 엄청 실망했으나, 그나마 중반부 이후 연기력이 좀 안정되어져 보였임.  오만과 편견을 봤던 사람들이라면 갈등 고조에서 해결해 나가는 스토리가 많이 오버랩 됐을거라 생각 됨.  내 기억 속 작은 아씨들은 어렸을 때 보았던 TV만화 시리즈가 최고 였음."
"75","5","원작의 사건을 대충퍼서 페미니즘으로 반죽했더니 이도저도아닌 산만함어릴적 읽었던 원작의감동 돌려줘 ㅜㅜ"
"76","10","Excellent adapted screenplay"
"77","4","기대가 컸어요...ㅜ"
"78","10","딸하고 같이 봤는데  처음부텁  끝까지  넘넘 좋았어요     배경두 음악도 대사 하나하나가  주옥 같았습니다^^"
"79","3","기대감이 컸나봐요  .  원래  뭐든  괜잖게  보는편인데   음.  좀  지루했음~"
"80","10","코로나가 없었다면 정말 많은 이들이 보았을 영화. 잔잔하지만 열정적이고 아프지만 따뜻하다.각자의 꿈에 대하여도 생각하게 하고 연기 미술 의상 대사 모두 좋다."
"81","9","원작도 읽었고 여러 번 영화와 tv 시리즈로 만들어진 작품들을 봤지만 이 영화가 가장 마음에 들었습니다. 현대적 감각으로 냉소적 유머를 섞어 잘 쓰여진 대사. 감독의 섬세한 연출, 배우들의 몰입된 연기, 무엇보다 소설 속에서 튀어나온 듯 완벽한 배역 덕분에 배우들도 자기 옷을 입은 듯 자연스러운 연기를 끌어낼 수 있지 않았나 싶네요. 페미니즘적인 해석도 캡틴 마블처럼 억지스럽지 않은, 후라이드 그린 토마토나 델마와 루이스를 연상케 하는 내가 나답게 존재하는 것, 그 이상도 이하도 아니어서 더 좋았습니다."
"82","9","오만과편견 전쟁과 평화같은 고전명작이 생각나기도 하면서 또 한편으로는 주말연속극이 생각나는 푸근함 코로나걱정 잊게해주는 행복감 에이미와 조세핀의 특색있는 매력"
"83","8","지루한데 잼나요"
"84","10","과거와 현재가 얽혀있는 실을 풀어가는 듯한 전개.배우들 연기도 너무 좋았고 감동적이다"
"85","10","에이미를 온전히 이해하게 해준 것만 해도 별다섯개는 당연하다"
"86","8","원작을 읽어보고 싶은 생각이 들었습니다.네 자매의 얽히고 설킨 일상들 속에서도각각의 성격들이 분명하게 들어나고개연성 있는 인생 전개약간의 현실적 운명역학이고스란히 담긴 명작이었습니다.다만영화적 기승전결이좀 아쉬었습니다"
"87","0","재미없어요. 그저 착하고 아름답게만 그렸어요."
"88","8","극의 초반에는 과거와 현재를 오고가는 교차편집 때문에 다소 혼란스러웠지만 시간이 갈수록 각 주인공들의 감정과 서사를 더 짙게 만들어준다. 행복함과 사랑스러움이 묻어 나오는 영화"
